TARIFF,DESCRIPTION,UOM,MFN,GT,AUT,NZT,CCCT,LDCT,GPT,UST,MT,MUST,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,UAT,CPTPT
0101,"Live horses, asses, mules and hinnies.",,,,,,,,,,,,,,,,,,,,,,,,,,
0102,Live bovine animals.,,,,,,,,,,,,,,,,,,,,,,,,,,
0103,Live swine.,,,,,,,,,,,,,,,,,,,,,,,,,,
0104,Live sheep and goats.,,,,,,,,,,,,,,,,,,,,,,,,,,
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,,,,,,,,,,,,,,,,,,,,,,,,,
0106,Other live animals.,,,,,,,,,,,,,,,,,,,,,,,,,,
01012,Horses:,,,,,,,,,,,,,,,,,,,,,,,,,,
0101210000,Pure-bred breeding animals,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01012900,Other,,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101290010,For slaughter,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0101290020,For racing,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0101290090,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0101300000,Asses,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101900000,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01022,Cattle:,,,,,,,,,,,,,,,,,,,,,,,,,,
01022100,Pure-bred breeding animals,,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102210010,Dairy,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0102210090,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
01022900,Other,,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102290010,Dairy,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0102290090,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
01023,Buffalo:,,,,,,,,,,,,,,,,,,,,,,,,,,
0102310000,Pure-bred breeding animals,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102390000,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102900000,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103100000,Pure-bred breeding animals,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01039,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0103910000,Weighing less than 50 kg,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103920000,Weighing 50 kg or more,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01041000,Sheep,,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0104100010,Pure-bred breeding animals,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0104100090,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
01042000,Goats,,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0104200010,Pure-bred breeding animals,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0104200090,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
01051,Weighing not more than 185 g:,,,,,,,,,,,,,,,,,,,,,,,,,,
010511,Fowls of the species Gallus domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,
0105111000,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105112,Broilers for domestic production:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105112100,Within access commitment,NMB,0.86 ¢each,,,,Free,Free,,Free,,,,Free,,,,,Free,Free,Free,,,,Free,Free,Free
01051122,Over access commitment,,238 % but not less than 30.8 ¢each,,,,,,,,,,,,,,,,,,,,,,,,
0105112200,Over access commitment,NMB,238 % but not less than 30.8 ¢each,,,,,,,,,,,,,,,,,,,,,,,,
0105119000,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
010512,Turkeys,,,,,,,,,,,,,,,,,,,,,,,,,,
0105121000,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105129000,Other,NMB,8 %,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,6.5 %
010513,Ducks,,,,,,,,,,,,,,,,,,,,,,,,,,
